VW_30cm,VW_60cm,VW_90cm,VW_120cm,VW_150cm,T_30cm,T_60cm,T_90cm,T_120cm,T_150cm
0.2570192132262869,0.11373543921762852,0.3565068521229886,0.23704624245776923,0.3152233010547828,19.803765842691362,17.59936430575119,17.203736020835947,10.772583278365039,15.130918812258901
0.2555877030029709,0.11373544162909861,0.35652532696539657,0.2394769126266859,0.3111779338214717,19.82663981392885,17.599403666243713,17.203736007879616,10.77258327836514,15.130918812258901
0.25393927261794375,0.11373544379357686,0.35654579967151584,0.24384972989733747,0.307390238361134,19.84965918265242,17.59944071273363,17.203735994572085,10.772583278365245,15.130918812258901
0.2521027847744257,0.11373544568196536,0.3565679437813629,0.2501092625788006,0.3038760347499574,19.872757369408664,17.599475126997266,17.203735980995948,10.772583278365351,15.130918812258901
0.25011110463670255,0.11373544726665692,0.35659140168257875,0.2577468697529541,0.30063765778501866,19.895866476186054,17.599506602705294,17.20373596724008,10.772583278365461,15.130918812258901
0.24800012946276095,0.11373544852184478,0.35661579012691097,0.2660140358597154,0.2976685812766517,19.918917425951026,17.599534847893864,17.203735953399264,10.77258327836558,15.130918812258901
0.24580685811042888,0.11373544942382802,0.3566407062170053,0.2742061602573742,0.29495665281495215,19.941840114397213,17.599559587387276,17.203735939573804,10.7725832783657,15.130918812258901
0.24356699063685086,0.11373544995130817,0.35666573378585664,0.28183741484699504,0.29248392525192296,19.964563574362963,17.599580565153545,17.203735925869033,10.772583278365824,15.130918812258901
0.24131250737838203,0.11373545008567429,0.3566904500843726,0.288668631206194,0.2902214213291418,19.987016153257354,17.599597546574437,17.203735912394787,10.772583278365952,15.130918812258901
0.23906957768158985,0.11373544981127391,0.3567144326856587,0.2946489508799086,0.28811714623106366,20.009125703707824,17.59961032061171,17.203735899264796,10.772583278366088,15.130918812258901
0.23685711829431605,0.11373544911566666,0.3567372665079711,0.29983808945380475,0.2860821892000432,20.0308197875023,17.59961870185157,17.20373588659601,10.772583278366225,15.130918812258901
0.2346863086176236,0.11373544798985684,0.35675855085198366,0.3043437992372439,0.2839991054646362,20.052025892747466,17.599622532409906,17.203735874507924,10.77258327836637,15.130918812258901
0.23256123054182698,0.11373544642850339,0.3567779063423565,0.3082823070025834,0.2817776430036598,20.072671664003956,17.59962168368152,17.20373586312176,10.772583278366518,15.130918812258901
0.2304804897655841,0.11373544443010274,0.35679498165891393,0.3117572632989719,0.27942319115942255,20.092685144989645,17.599616057917103,17.203735852559664,10.772583278366675,15.130918812258901
0.2284393459189219,0.11373544199714392,0.3568094599394392,0.31484993396960975,0.2770406184544592,20.111995033265412,17.599605589612942,17.203735842943825,10.772583278366836,15.130918812258901
0.22643182100263942,0.1137354391362315,0.35682106473461506,0.3176148549826484,0.2747656851773743,20.130530946135355,17.59959024669896,17.20373583439554,10.772583278367,15.130918812258901
0.22445267025798465,0.11373543585817557,0.3568295653964211,0.32007809772457996,0.2726941112006281,20.148223696806358,17.599570031512194,17.203735827034276,10.772583278367172,15.130918812258901
0.2224997217335413,0.11373543217804555,0.3568347817847715,0.3222376571467644,0.27086122765248,20.165005579662065,17.599544981543797,17.203735820976647,10.772583278367351,15.130918812258901
0.2205770737534106,0.11373542811518637,0.35683658818370634,0.324066191415674,0.2692642914600875,20.18081066331578,17.59951516994923,17.203735816335396,10.772583278367536,15.130918812258901
0.21869835447265246,0.11373542369319706,0.35683491632829084,0.32551590237235867,0.26788784481994715,20.195575089917174,17.599480705812585,17.203735813218362,10.772583278367728,15.130918812258901
0.2168875924269053,0.11373541893986687,0.35682975745667184,0.3265249905427326,0.26671077804427545,20.209237379002104,17.599441734157818,17.20373581172738,10.772583278367929,15.130918812258901
0.21517535935853363,0.11373541388707269,0.3568211633184334,0.32702534503159125,0.265706837783696,20.22173873399622,17.599398435701048,17.203735811957213,10.772583278368137,15.130918812258901
0.21359045811671146,0.11373540857063248,0.3568092460902604,0.32695144451799846,0.26485118688750997,20.233023349314806,17.599351026340052,17.203735813994502,10.77258327836835,15.130918812258901
0.2121504108139853,0.11373540303011909,0.35679417717251743,0.3262502712591188,0.2641249029986585,20.243038715847426,17.599299756378812,17.203735817916648,10.772583278368572,15.130918812258901
0.21085485555761985,0.11373539730863055,0.35677618486504975,0.3248913339159333,0.2635105088345357,20.25173592248074,17.599244909486803,17.203735823790776,10.7725832783688,15.130918812258901
0.20968455793193794,0.11373539145252062,0.35675555094650446,0.3228750240484264,0.26298919418085653,20.25906995120044,17.599186801394666,17.203735831672702,10.77258327836904,15.130918812258901
0.20860652806916688,0.11373538551108868,0.3567326062078222,0.32023703398926645,0.262546674793375,20.264999963227663,17.59912577832988,17.20373584160593,10.772583278369288,15.130918812258901
0.20758365799404707,0.11373537953623127,0.356707725016246,0.3170469381128136,0.26217668669907973,20.26948957359127,17.59906221519793,17.203735853620675,10.772583278369543,15.130918812258901
0.20658567842137526,0.1137353735820563,0.3566813190102115,0.3134003338666425,0.2618737037468892,20.272507111516507,17.598996513516475,17.20373586773297,10.772583278369808,15.130918812258901
0.20559762713543053,0.11373536770446371,0.35665383004686496,0.3094056192625932,0.2616235709356226,20.274025864027276,17.598929099112013,17.203735883943818,10.772583278370085,15.130918812258901
0.20462297418482736,0.11373536196069249,0.356625722541856,0.30516801195524157,0.261402637544299,20.27402430021356,17.59886041959033,17.203735902238382,10.772583278370373,15.130918812258901
0.20368069061287863,0.1137353564088404,0.3565974753548204,0.3007749840758023,0.2611859612696642,20.27248627370815,17.598790941594036,17.203735922585327,10.772583278370668,15.130918812258901
